"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R7,R4,R3,R9,R5,R2,R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";7;"10k";;;
2;"C6,C1,C4";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"10u";;;
3;"C8,C3,C7,C5";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"0.1u";;;
4;"J3";"PinSocket_1x04_P2.54mm_Vertical";1;"PROG";;;
5;"SW2";"SW_Push_1P1T_NO_6x6mm_H9.5mm";1;"Flash";;;
6;"SW1";"SW_Push_1P1T_NO_6x6mm_H9.5mm";1;"Reset";;;
7;"R6,R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"150";;;
8;"J2";"SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount";1;"RF";;;
9;"U3";"Ai-Thinker-Ra-01-LoRa";1;"Ai-Thinker-Ra-01";;;
10;"U1";"TO-252-2";1;"AZ1117D-ADJ";;;
11;"J1";"BarrelJack_Horizontal";1;"Supply";;;
12;"C2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"22u";;;
13;"U2";"ESP-07";1;"ESP-07";;;
